sl.no,Type,Course Code,Course Name,Course Type,Ver sio n,L,T,P,J,Credits
212,Open Elective,CFOC175M,Nanotechnology in Agriculture,Online Course,1,0,0,0,0,2
213,Open Elective,CFOC176M,Computer Aided Drug Design,Online Course,1,0,0,0,0,2
214,Open Elective,CFOC177M,Drug Delivery: Principles and Engineering,Online Course,1,0,0,0,0,3
215,Open Elective,CFOC178M,Functional Genomics,Online Course,1,0,0,0,0,1
216,Open Elective,CFOC179M,Introduction to Proteogenomics,Online Course,1,0,0,0,0,3
217,Open Elective,CFOC180M,Introduction to Mechanobiology,Online Course,1,0,0,0,0,2
218,Open Elective,CFOC181M,WildLife Conservation,Online Course,1,0,0,0,0,2
219,Open Elective,CFOC182M,Organic Chemistry in Biology and Drug Development,Online Course,1,0,0,0,0,3
220,Open Elective,CFOC183M,Bioinorganic Chemistry,Online Course,1,0,0,0,0,1
221,Open Elective,CFOC184M,Spectroscopic Techniques for Pharmaceutical and Biopharmaceutical Industries,Online Course,1,0,0,0,0,3
222,Open Elective,CFOC185M,Biophysical chemistry,Online Course,1,0,0,0,0,3
223,Open Elective,CFOC186M,Deep Learning,Online Course,1,0,0,0,0,3
224,Open Elective,CFOC187M,Blockchain Architecture Design and use Cases,Online Course,1,0,0,0,0,3
225,Open Elective,CFOC188M,Ethical Hacking,Online Course,1,0,0,0,0,3
226,Open Elective,CFOC189M,Organic Farming for Sustainable Agricultural Production,Online Course,1,0,0,0,0,2
227,Open Elective,CFOC190M,Positive Psychology,Online Course,1,0,0,0,0,2
228,Open Elective,CFOC191M,Forests and their Management,Online Course,1,0,0,0,0,3
229,Open Elective,CFOC192M,Forest Biometry,Online Course,1,0,0,0,0,2
230,Open Elective,CFOC193M,Bioengineering: An Interface with Biology and Medicine,Online Course,1,0,0,0,0,2
231,Open Elective,CFOC194M,Human Molecular Genetics,Online Course,1,0,0,0,0,1
232,Open Elective,CFOC195M,Bioenergetics of Life Processes,Online Course,1,0,0,0,0,1
233,Open Elective,CFOC196M,Computational Systems Biology,Online Course,1,0,0,0,0,3
234,Open Elective,CFOC197M,Bio-Informatics: Algorithms and Applications,Online Course,1,0,0,0,0,3
