sl.no,Type,Course Code,Course Name,Course Type,Ver sio n,L,T,P,J,Credits
145,Discipline Elective,BEEE303L,Control Systems,Theory Only,1,3,0,0,0,3
146,Discipline Elective,BEEE303P,Control Systems Lab,Lab Only,1,0,0,2,0,1
147,Discipline-linked Engineering Sciences,BECE102L,Digital Systems Design,Theory Only,1,3,0,0,0,3
148,Discipline-linked Engineering Sciences,BECE102P,Digital Systems Design Lab,Lab Only,1,0,0,2,0,1
149,Discipline-linked Engineering Sciences,BECE204L,Microprocessors and Microcontrollers,Theory Only,1,3,0,0,0,3
150,Discipline-linked Engineering Sciences,BECE204P,Microprocessors and Microcontrollers Lab,Lab Only,1,0,0,2,0,1
151,Discipline-linked Engineering Sciences,BMAT205L,Discrete Mathematics and Graph Theory,Theory Only,1,3,1,0,0,4
152,Open Elective,BCSE353E,Information Security Analysis and Audit,Embedded Theory and Lab,1,1,0,2,0,2
153,Open Elective,BCSE354E,Information Security Management,Embedded Theory and Lab,1,1,0,2,0,2
154,Open Elective,BCSE355L,Cloud Architecture Design,Theory Only,1.1,3,0,0,0,3
155,Open Elective,BECE201L,Electronic Materials and devices,Theory Only,1,3,0,0,0,3
156,Open Elective,BECE203L,Circuit Theory,Theory Only,1,3,1,0,0,4
157,Open Elective,BEEE203L,Circuit Theory,Theory Only,1,3,1,0,0,4
158,Open Elective,BEEE206L,Digital Electronics,Theory Only,1,3,0,0,0,3
159,Open Elective,BEEE206P,Digital Electronics Lab,Lab Only,1,0,0,2,0,1
160,Open Elective,BFST213E,Garment Designing and Manufacturing,Embedded Theory and Lab,1,2,0,2,0,3
161,Open Elective,BHUM110L,Cognitive Psychology,Theory Only,1.1,3,0,0,0,3
162,Open Elective,BHUM111L,Happiness and Well-being,Theory Only,1,3,0,0,0,3
163,Open Elective,BHUM112L,Social Psychology,Theory Only,1,3,0,0,0,3
164,Open Elective,BHUM114L,International Economic Relations,Theory Only,1,3,0,0,0,3
165,Open Elective,BHUM201L,Mass Communication,Theory Only,1,3,0,0,0,3
166,Open Elective,BHUM202L,Rural Development,Theory Only,1,3,0,0,0,3
167,Open Elective,BHUM203L,Introduction to Psychology,Theory Only,1,3,0,0,0,3
